fMHz;Pi;Pr
40.00; -70.9754631309414; -71.19435690368329
41.00; -70.90055980013062; -71.13453655805854
42.00; -70.88604283507667; -71.1426495132849
43.00; -70.91302312803874; -71.19603319407442
44.00; -70.9532105574158; -71.26075904751045
45.00; -71.00095580688969; -71.32547401594394
46.00; -71.04114323626676; -71.40532639457616
47.00; -71.08887760073812; -71.46624612545743
48.00; -71.15736603671876; -71.53848625898013
49.00; -71.28435410468263; -71.65225630552648
50.00; -71.40567108632327; -71.7547059494314
51.00; -71.48925339249246; -71.80432704767631
52.00; -71.52567823932493; -71.78982096762489
53.00; -71.54131635964049; -71.75267408229062
54.00; -71.52869701336265; -71.6701802763754
55.00; -71.49717767434146; -71.57265791028685
56.00; -71.5166219172118; -71.53926272249464
57.00; -71.55492261281528; -71.50209406715528
58.00; -71.60077024351307; -71.47247234691022
59.00; -71.63341073779584; -71.43153022402373
60.00; -71.65284409566362; -71.42077584151437
61.00; -71.66660636720816; -71.44018742937708
62.00; -71.70868053035879; -71.49358199516914
63.00; -71.8092325554876; -71.592279941532
64.00; -71.94378932855085; -71.75512683619627
65.00; -72.04057877113505; -71.90281455065673
66.00; -72.05057846013497; -72.05056757513243
67.00; -72.01340980479563; -72.14549205394815
68.00; -71.94415579030301; -72.20641178482941
69.00; -71.85039600675907; -72.24471248043291
70.00; -71.74718078434219; -72.26037237075356
71.00; -71.64585229569887; -72.22322548541928
72.00; -71.52190477177778; -72.16712418232898
73.00; -71.41302934804018; -72.08092221888185
74.00; -71.27586380270156; -71.96073727750537
75.00; -71.17265946528721; -71.82545846594032
76.00; -71.14302686003961; -71.72038916475748
77.00; -71.19642142583167; -71.65678446658305
78.00; -71.26868332935945; -71.66110218425717
79.00; -71.37301970703794; -71.69565118231861
80.00; -71.50377035754643; -71.73395187792211
